date,home_team_ua,away_team_ua,sofascore_event_id,sofa_home_en,sofa_away_en,sofascore_custom_id
2026-08-15,Динамо Київ,Колос,16412919,Dynamo Kyiv,Kolos Kovalivka,
2026-08-15,Харків,Шахтар,16412912,FC Kharkiv,Shakhtar Donetsk,
2026-08-16,Арсенал,Манчестер Сіті,16248427,Arsenal,Manchester City,
2026-08-21,Арсенал,Ковентрі Сіті,16363633,Arsenal,Coventry City,
2026-08-22,Галл Сіті,Манчестер Юнайтед,16363634,Hull City,Manchester United,
2026-08-22,Боруссія Дортмунд,Баварія,16248441,Borussia Dortmund,FC Bayern München,
2026-08-22,Еспаньйол,Реал Мадрид,16416306,Espanyol,Real Madrid,
2026-08-23,Фрозіноне,Ювентус,16283048,Frosinone,Juventus,
2026-08-23,Торіно,Мілан,16283046,Torino,AC Milan,
2026-08-23,Ельче,Барселона,16416311,Elche,FC Barcelona,
2026-08-24,Фулгем,Челсі,16363244,Fulham,Chelsea,
2026-08-26,Реал Мадрид,Реал Сосьєдад,16421051,Real Madrid,Real Sociedad,
2026-08-27,Барселона,Атлетік Більбао,16421059,FC Barcelona,Athletic Club,
2026-08-28,Баварія,Штутгарт,16434087,FC Bayern München,VfB Stuttgart,
2026-08-28,Мілан,Венеція,16284980,AC Milan,Venezia,
2026-08-29,Астон Вілла,Арсенал,16363245,Aston Villa,Arsenal,
2026-08-29,Манчестер Юнайтед,Іпсвіч Таун,16363253,Manchester United,Ipswich Town,
2026-08-29,Шахтар,Полісся,16412925,Shakhtar Donetsk,Polissya Zhytomyr,
2026-08-29,Буковина,Динамо Київ,16412921,Bukovyna Chernivtsi,Dynamo Kyiv,
2026-08-30,Челсі,Брайтон,16363249,Chelsea,Brighton & Hove Albion,
2026-08-30,Реал Мадрид,Малага,16416312,Real Madrid,Málaga CF,
2026-08-30,Ювентус,Парма,16284975,Juventus,Parma,
2026-08-31,Барселона,Райо Вальєкано,16416295,FC Barcelona,Rayo Vallecano,
2026-09-05,Динамо Київ,ЛНЗ,16412933,Dynamo Kyiv,LNZ Cherkasy,
2026-09-05,Шальке 04,Баварія,16434032,FC Schalke 04,FC Bayern München,
2026-09-05,Карпати,Шахтар,16412930,Karpaty Lviv,Shakhtar Donetsk,
2026-09-05,Бетіс,Реал Мадрид,16416315,Real Betis,Real Madrid,
2026-09-06,Евертон,Манчестер Юнайтед,16363259,Everton,Manchester United,
2026-09-06,Арсенал,Челсі,16363257,Arsenal,Chelsea,
2026-09-06,Ювентус,Мілан,16285004,Juventus,AC Milan,
2026-09-06,Валенсія,Барселона,16416325,Valencia,FC Barcelona,
2026-09-12,Ельверсберг,Баварія,16434041,SV 07 Elversberg,FC Bayern München,
2026-09-12,Сандерленд,Арсенал,16363646,Sunderland,Arsenal,
2026-09-12,Челсі,Галл Сіті,16363641,Chelsea,Hull City,
2026-09-12,Динамо Київ,Епіцентр,16412940,Dynamo Kyiv,FC Epicentr Dunaivtsi,
2026-09-12,Шахтар,Чорноморець,16412941,Shakhtar Donetsk,Chornomorets Odesa,
2026-09-12,Реал Мадрид,Райо Вальєкано,16416331,Real Madrid,Rayo Vallecano,
2026-09-13,Манчестер Юнайтед,Манчестер Сіті,16363645,Manchester United,Manchester City,
2026-09-13,Сассуоло,Ювентус,16285013,Sassuolo,Juventus,
2026-09-13,Лаціо,Мілан,16285012,Lazio,AC Milan,
2026-09-13,Леванте,Барселона,16416329,Levante UD,FC Barcelona,
